Segville,International Airport,airSEG,airMRI,1,air101toMRI,
Segville,International Airport,airSEG,airZAQ,1,air104toZAQ,
Segville,International Airport,airSEG,airVER,1,air110toVER,
Segville,International Airport,airSEG,airTSA,1,air112toTSA,
Segville,International Airport,airSEG,airWMA,1,air113toWMA,
Segville,International Airport,airSEG,airCWB,1,air116toCWB,
Segville,International Airport,airSEG,airWCA,1,air119toWCA,
Segville,International Airport,airSEG,airSVA,1,air121toSVA,
Segville,International Airport,airSEG,airTFA,1,air125toTFA,
Segville,International Airport,airSEG,airWYA,1,air126toWYA,
Segville,International Airport,airSEG,airSUA,1,air127toSUA,
Segville,International Airport,airSEG,airVIC,1,air130toVIC,
Segville,International Airport,airSEG,airVCA,1,air132toVCA,
Segville,International Airport,airSEG,airSSI,1,air136toSSI,
Segville,International Airport,airSEG,airVFW,1,air137toVFW,
Segville,International Airport,airSEG,airCAL,1,air149toCAL,
Segville,International Airport,airSEG,airSHI,1,air178toSHI,
Segville,International Airport,airSEG,airWZA,1,air181toWZA,
Segville,International Airport,airSEG,airWCC,1,air183toWCC,
Segville,International Airport,airSEG,airEIA,1,seg7toEIA,wp61toEIA
Segville,International Airport,airSEG,airVEX,1,seg12toVEX,
Segville,International Airport,airSEG,airWMI,1,air_1toWMI,
Segville,International Airport,airSEG,airEBI,1,air_2toEBI,
Segville,International Airport,airSEG,airNPR,1,air_3toNPR,
Segville,International Airport,airSEG,airWOI,1,air_4toWOI,
Segville,International Airport,airSEG,airATC,1,air_102toATC,
Segville,International Airport,airSEG,airLAR,1,air_104toLAR,
Segville,International Airport,airSEG,airLHT,1,air_105toLHT,
Segville,International Airport,airSEG,airEEA,1,air_106toEEA,
Segville,International Airport,airSEG,airBVL,1,air_107toBVL,
Segville,International Airport,airSEG,airERZ1,1,air_108toERZ,
Segville,International Airport,airSEG,airMBI,1,air_111toMBI,
Segville,International Airport,airSEG,airFCE,1,air_113toFCE,
Segville,International Airport,airSEG,airFWC,1,air_114toFWC,
Segville,International Airport,airSEG,airNHR,1,air_116toNHR,
Segville,International Airport,airSEG,airNBC,1,air_117toNBC,
Segville,International Airport,airSEG,airKZH,1,air_118toKZH,
Segville,International Airport,airSEG,airHKA,1,air_119toHKA,
Segville,International Airport,airSEG,airHND,1,air_121toHND,
Segville,International Airport,airSEG,airNMW,1,air_122toNMW,
