Segville,International Airport,airSEG,SEG,air101toMRI,Gate B1,null,,,
Segville,International Airport,airSEG,SEG,air104toZAQ,Gate B3,null,,,
Segville,International Airport,airSEG,SEG,air110toVER,Gate B5,null,,,
Segville,International Airport,airSEG,SEG,air112toTSA,Gate B5,null,,,
Segville,International Airport,airSEG,SEG,air113toWMA,Gate C2,null,,,
Segville,International Airport,airSEG,SEG,air116toCWB,Gate C4,null,,,
Segville,International Airport,airSEG,SEG,air119toWCA,Gate C6,null,,,
Segville,International Airport,airSEG,SEG,air121toSVA,Gate C8,null,,,
Segville,International Airport,airSEG,SEG,air125toTFA,Gate C11,null,,,
Segville,International Airport,airSEG,SEG,air126toWYA,Gate C11,null,,,
Segville,International Airport,airSEG,SEG,air127toSUA,Gate C12,null,,,
Segville,International Airport,airSEG,SEG,air130toVIC,Gate C13,null,,,
Segville,International Airport,airSEG,SEG,air132toVCA,Gate C13,null,,,
Segville,International Airport,airSEG,SEG,air136toSSI,Gate C15,null,,,
Segville,International Airport,airSEG,SEG,air137toVFW,Gate C15,null,,,
Segville,International Airport,airSEG,SEG,air149toCAL,Gate C22,null,,,
Segville,International Airport,airSEG,SEG,air178toSHI,Gate C1,null,,,
Segville,International Airport,airSEG,SEG,air181toWZA,Gate C14,null,,,
Segville,International Airport,airSEG,SEG,air183toWCC,Gate C14,null,,,
Segville,International Airport,airSEG,SEG,seg7toEIA,Gate B6,null,,,
Segville,International Airport,airSEG,SEG,seg12toVEX,Gate C29,null,,,
Segville,International Airport,airSEG,SEG,wp61toEIA,Gate A8,null,,,
Segville,International Airport,airSEG,SEG,air_1toWMI,Gate B2,null,,,
Segville,International Airport,airSEG,SEG,air_2toEBI,Gate B2,null,,,
Segville,International Airport,airSEG,SEG,air_3toNPR,Gate B1,null,,,
Segville,International Airport,airSEG,SEG,air_4toWOI,Gate B1,null,,,
Segville,International Airport,airSEG,SEG,air_102toATC,Gate B1,null,,,
Segville,International Airport,airSEG,SEG,air_104toLAR,Gate B3,null,,,
Segville,International Airport,airSEG,SEG,air_105toLHT,Gate B3,null,,,
Segville,International Airport,airSEG,SEG,air_106toEEA,Gate B4,null,,,
Segville,International Airport,airSEG,SEG,air_107toBVL,Gate B4,null,,,
Segville,International Airport,airSEG,SEG,air_108toERZ,Gate B4,null,,,
Segville,International Airport,airSEG,SEG,air_111toMBI,Gate B5,null,,,
Segville,International Airport,airSEG,SEG,air_113toFCE,Gate C1,null,,,
Segville,International Airport,airSEG,SEG,air_114toFWC,Gate C1,null,,,
Segville,International Airport,airSEG,SEG,air_116toNHR,Gate C2,null,,,
Segville,International Airport,airSEG,SEG,air_117toNBC,Gate C2,null,,,
Segville,International Airport,airSEG,SEG,air_118toKZH,Gate C3,null,,,
Segville,International Airport,airSEG,SEG,air_119toHKA,Gate C3,null,,,
Segville,International Airport,airSEG,SEG,air_121toHND,Gate C4,null,,,
Segville,International Airport,airSEG,SEG,air_122toNMW,Gate C4,null,,,
Segville,International Airport,airSEG,SEG,air_123toBRO,Gate C5,null,,,
